Start log
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
iiwa, (iiwaGo(robot_pen.2),true,0), WINNER(iiwaGo(robot_pen.2),0)
