Start log
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
iiwa, (iiwaGo(home,brick21.over),true,0), WINNER(iiwaGo(home,brick21.over),0)
